id,primary_type,community_area,year,latitude,longitude
22692,HOMICIDE,53,2016,41.668228117,-87.637976498
23362,HOMICIDE,70,2017,41.745303118,-87.702269161
24160,HOMICIDE,43,2018,41.755097256,-87.588973804
23822,HOMICIDE,29,2018,41.860003433,-87.733549773
23811,HOMICIDE,53,2018,41.678585145,-87.617837834
22329,HOMICIDE,25,2016,41.904894462,-87.762198339
24296,HOMICIDE,26,2018,41.876196728,-87.724060818
22920,HOMICIDE,25,2016,41.910467863,-87.751781089
22712,HOMICIDE,69,2016,41.761660926,-87.596957994
21574,HOMICIDE,42,2014,41.776024095,-87.597314305
23998,HOMICIDE,26,2018,41.878797251,-87.731673919
23594,HOMICIDE,25,2017,41.877684644,-87.745755297
22718,HOMICIDE,22,2016,41.91482839,-87.690516553
21178,HOMICIDE,53,2013,41.680735801,-87.619457678
23092,HOMICIDE,68,2017,41.764173033,-87.650448772
21379,HOMICIDE,27,2014,41.880905236,-87.71216242
24247,HOMICIDE,23,2018,41.889025668,-87.723465161
22847,HOMICIDE,25,2016,41.873855027,-87.762346249
22656,HOMICIDE,71,2016,41.75359293,-87.658671286
20833,HOMICIDE,22,2013,41.914456879,-87.699213111
22877,HOMICIDE,24,2016,41.899526807,-87.657581818
23860,HOMICIDE,41,2018,41.796172736,-87.585432838
20773,HOMICIDE,58,2013,41.820916786,-87.698313499
22266,HOMICIDE,29,2016,41.861008942,-87.705515947
24221,HOMICIDE,50,2018,41.685481647,-87.606899253
21839,HOMICIDE,61,2015,41.805765182,-87.673404434
22232,HOMICIDE,25,2015,41.898883465,-87.748348943
21678,HOMICIDE,23,2014,41.897906685,-87.716394405
21925,HOMICIDE,3,2015,41.962993658,-87.655933554
21858,HOMICIDE,25,2015,41.90040965,-87.756563117
22067,HOMICIDE,27,2015,41.871988123,-87.694463394
20822,HOMICIDE,46,2013,41.751595549,-87.576792325
23986,HOMICIDE,69,2018,41.755951187,-87.611408386
24304,HOMICIDE,54,2018,41.653233489,-87.604824704
21125,HOMICIDE,25,2013,41.876581037,-87.745137513
23263,HOMICIDE,25,2017,41.891671574,-87.759220011
22397,HOMICIDE,31,2016,41.859290468,-87.673592243
22823,HOMICIDE,49,2016,41.700488788,-87.623329533
20973,HOMICIDE,26,2013,41.874372731,-87.724236027
21172,HOMICIDE,11,2013,41.969279924,-87.781943859
21000,HOMICIDE,25,2013,41.882210062,-87.76708982
24180,HOMICIDE,61,2018,41.795515631,-87.6536954
21556,HOMICIDE,49,2014,41.717545998,-87.616457178
21148,HOMICIDE,67,2013,41.775222974,-87.660453671
23339,HOMICIDE,23,2017,41.904417002,-87.730008129
20994,HOMICIDE,67,2013,41.764682386,-87.663785792
23056,HOMICIDE,71,2016,41.746090473,-87.659687936
21734,HOMICIDE,61,2015,41.802277495,-87.655080002
