the_geom.type,the_geom.coordinates,route_numb,school_nam,schoolid,rt_num,shape_leng
MultiLineString,,115,BROOKS HS,609726,115,7711.54445393
MultiLineString,,117,CHICAGO MILITARY HS,609754,117,1839.46381552
MultiLineString,,118,CLAREMONT,610347,118,4675.61370808
MultiLineString,,119,GRAHAM HS,609769,119,3786.56004971
MultiLineString,,120,HAMLINE/CHAVEZ,609964,120,4973.84287692
MultiLineString,,121,HENDRICKS,609987,121,3247.8298008
MultiLineString,,123,JENNER,610012,123,2471.51013207
MultiLineString,,124,LIBBY,610037,124,5636.11803614
MultiLineString,,125,LINDBLOM HS,610391,125,8620.75214228
MultiLineString,,126,NORTHSIDE LEARNING HS,609744,126,2957.48193546
MultiLineString,,127,PARKSIDE,610116,127,2356.54164492
MultiLineString,,122,HERNANDEZ/SANDOVAL/SOLORIO HS,610226,122,7457.35356149
MultiLineString,,130,SPENCER,610183,130,5877.66750713
MultiLineString,,129,RANDOLPH,609941,129,2030.00470276
MultiLineString,,131,TILL,610065,131,987.569057494
MultiLineString,,132,UPLIFT HS,610394,132,1654.67417547
MultiLineString,,133,WOODSON,610345,133,4771.93598175
MultiLineString,,128,PHOENIX MILITARY HS,610304,128,2032.08128138
MultiLineString,,116,BURKE,609819,116,2220.75573111
MultiLineString,,114,BOND,610238,114,2650.00910975
MultiLineString,,112,ALDRIDGE/CARVER/CICS-BOND/DUBOIS,609848,112,11089.5250613
MultiLineString,,134,RABY HS,610334,134,3747.19784918
MultiLineString,,135,BRONZEVILLE HS,610381,135,4194.98721293
MultiLineString,,136,SHIELDS,610174,136,3294.62113764
MultiLineString,,138,HENDERSON,609986,138,2526.81178598
MultiLineString,,139,WASHINGTON H ES,610124,139,3316.61398997
MultiLineString,,137,SHIELDS MIDDLE,610559,137,3294.62113764
MultiLineString,,140,ASHE,610268,140,3998.70147793
MultiLineString,,141,BRADWELL,609806,141,3113.84373007
MultiLineString,,142,DALEY,610239,142,3979.17564123
MultiLineString,,143,FRAZIER PROSPECTIVE,610503,143,2993.67843954
MultiLineString,,144,JOPLIN,609805,144,2316.96237021
MultiLineString,,145,LEWIS,610036,145,3978.44838032
MultiLineString,,146,MCKAY,610067,146,2661.60282334
MultiLineString,,147,MORRILL,610077,147,2660.5273043
MultiLineString,,148,PARK MANOR,610115,148,2646.76292345
MultiLineString,,149,RUGGLES,610152,149,2316.85712445
MultiLineString,,150,RUIZ,610125,150,2651.75243976
MultiLineString,,151,SAWYER,610157,151,2014.81359395
MultiLineString,,152,SHERMAN,610172,152,2026.33224313
MultiLineString,,153,WARREN,610218,153,1661.07817116
