school_id,school_nm
610170,COLUMBIA EXPLORERS
610171,MIRELES
610175,SHOESMITH
610176,SHOOP
610177,SKINNER
610180,SMYTH
610191,STONE
610192,STOWE
610194,SUMNER
610196,SWIFT
610197,TALCOTT
610200,"THORP, J"
610207,VANDERPOEL
610209,VOLTA
610212,ALBANY PARK
610216,WALSH
610220,WATERS
610221,WEBSTER
610225,WHISTLER
610227,WHITNEY
610228,WHITTIER
610229,PRITZKER
610231,NATIONAL TEACHERS
610234,YATES
610235,YOUNG
610237,BEETHOVEN
610249,TALMAN
610250,SALAZAR
610254,DVORAK TECH ACAD
610279,TANNER
610281,POWELL
610282,MCNAIR
610284,NEW FIELD
610299,HINTON
610300,WESTCOTT
610308,RUDOLPH
610325,LOGANDALE
610339,STAGG
610342,SABIN
610354,NORTH RIVER
610357,SPRY HS
610369,"JACKSON, M"
610380,"WILLIAMS, D"
610386,PEACE & EDUCATION HS
610402,DEVRY HS
610405,SUDER
610499,COLLINS HS
610520,LASALLE II
610521,"DAVIS, M"
610529,OGDEN HS
610533,PRIETO
610534,SKINNER NORTH
610541,LORCA
610548,STEM ES
