school_id,school_nm,grades,sch_type,x,y,year
400053,NOBLE STREET CHTR - GOLDER,"9, 10, 11, 12",Charter,-87.6644822349,41.8952547584,2013
400054,NOBLE STREET CHTR - PRITZKER,"9, 10, 11, 12",Charter,-87.7301268308,41.9152415495,2013
400055,NOBLE STREET CHTR - RAUNER,"9, 10, 11, 12",Charter,-87.6608595533,41.8924524492,2013
400056,NOBLE STREET CHTR - ROWE CLARK,"9, 10, 11, 12",Charter,-87.7180472995,41.8953896979,2013
400057,NOBLE STREET CHTR - UIC,"9, 10, 11, 12",Charter,-87.6761476293,41.8658167128,2013
400058,NTH LAWNDALE CHTR - CHRISTIANA,"9, 10, 11, 12",Charter,-87.7079522423,41.8585191308,2013
400059,NTH LAWNDALE CHTR - COLLINS,"9, 10, 11, 12",Charter,-87.7020776088,41.8641432818,2013
400060,ASIAN HUMAN SERVICES CHTR - PASSAGES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6711611724,41.9833988719,2013
400061,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,"6, 7, 8, 9, 10, 11, 12",Charter,-87.652328137,41.7459346284,2013
400062,PERSPECTIVES CHTR - CALUMET TECH,"9, 10, 11, 12",Charter,-87.652328137,41.7459346284,2013
400064,PERSPECTIVES CHTR - JOSLIN,"6, 7, 8, 9, 10, 11, 12",Charter,-87.628510989,41.8559760522,2013
400066,PERSPECTIVES CHTR - IIT,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6248244058,41.8277834131,2013
400068,PLATO CONTR,"K, 1, 2, 3, 4, 5, 6, 7, 8",Contract,-87.7633375329,41.8727878671,2013
400069,POLARIS CHTR CAMPUS,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7077597569,41.8925508279,2013
400070,PROLOGUE HS,"9, 10, 11, 12",Alternative/Contract,-87.6637407341,41.9028970914,2013
400071,PROVIDENCE CHTR - BUNCHE,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6640324796,41.7753667505,2013
400072,SHABAZZ CHTR - SHABAZZ,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6002911949,41.7524580408,2013
400073,SHABAZZ CHTR - DUSABLE,"10, 11, 12",Charter,-87.6244105618,41.8045587818,2013
400074,SHABAZZ CHTR - SIZEMORE,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6676023602,41.7673906771,2013
400075,UNIV OF CHGO CHTR - DONOGHUE,"PK, K, 1, 2, 3, 4, 5",Charter,-87.6085142903,41.8277515953,2013
400076,UNIV OF CHGO CHTR - NKO,"PK, K, 1, 2, 3, 4, 5",Charter,-87.5985199021,41.8113891194,2013
400077,UNIV OF CHGO CHTR - WOODLAWN,"6, 7, 8, 9, 10, 11, 12",Charter,-87.5980804453,41.7781185054,2013
400078,UNIV OF CHGO CHTR - WOODSON,"6, 7, 8",Charter,-87.6083625326,41.8136148354,2013
400079,UNO CHTR - SPC DANIEL ZIZUMBO,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7303591387,41.8078400696,2013
400080,UNO CHTR - PFC OMAR E.TORRES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7303591387,41.8078400696,2013
400081,UNO CHTR - DE LAS CASAS,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6679497475,41.8595314471,2013
400082,UNO CHTR - FUENTES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6995937796,41.9375032181,2013
400083,UNO CHTR - PAZ,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6925516063,41.8500628499,2013
400084,UNO CHTR - TAMAYO,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6938983024,41.7999296462,2013
400085,UNO CHTR - MAJOR HECTOR P.GARCIA,"9, 10, 11, 12",Charter,-87.7303591387,41.8078400696,2013
400086,URBAN PREP CHTR - ENGLEWOOD,"9, 10, 11, 12",Charter,-87.6350153382,41.7815051905,2013
400087,YNG WOMEN - CHTR CAMPUS,"7, 8, 9, 10, 11, 12",Charter,-87.6187604879,41.8445432742,2013
400089,UNO CHTR - MARQUEZ,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6973933329,41.8082813887,2013
400091,CHICAGO TECH ACADEMY,"9, 10, 11, 12",Contract,-87.6590960187,41.8633288362,2013
400092,CICS - LLOYD BOND,"K, 1, 2, 3, 4, 5, 6",Charter,-87.605002927,41.6536675752,2013
400093,CHGO TALENT CHTR HS,"9, 10, 11, 12",Charter,-87.6832489544,41.8775287345,2013
400094,EPIC CHTR HS,"9, 10, 11, 12",Charter,-87.5502589916,41.7448481839,2013
400096,ROWE,"K, 1, 2, 3, 4, 5, 6",Charter,-87.6640357408,41.9077977718,2013
400097,NOBLE STREET CHTR - CHGO BULLS,"9, 10, 11, 12",Charter,-87.6781944858,41.8787813727,2013
400098,NOBLE STREET CHTR - MUCHIN,"9, 10, 11, 12",Charter,-87.6277411123,41.8820856512,2013
400101,UNO CHTR  - SANDRA CISNEROS,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.693994895,41.822856316,2013
400102,URBAN PREP CHTR - WEST,"9, 10, 11, 12",Charter,-87.6601057199,41.8625125845,2013
400104,INSTITUTO ACAD CHTR HEALTH,"9, 10, 11, 12",Charter,-87.6855472198,41.8459653309,2013
400105,URBAN PREP CHTR - BRONZEVILLE,"9, 10, 11, 12",Charter,-87.6285167495,41.8440435794,2013
400106,NOBLE STREET CHTR - JOHNSON,"9, 10, 11, 12",Charter,-87.6350800439,41.7783700534,2013
400107,LEARN CHRT - SO CHICAGO,"K, 1, 2, 3, 4, 5, 6",Charter,-87.544441817,41.7333296562,2013
400108,CICS - HAWKINS,"7, 8, 9, 10, 11, 12",Charter,-87.601885601,41.6531668985,2013
400109,PROLOGUE-JOHNSTON CHTR HS,"9, 10, 11, 12",Alternative/Charter,-87.6624163139,41.7211638931,2013
400111,LEARN CHTR - HUNTER PERKINS,"K, 1, 2, 3, 4, 5",Charter,-87.6657204357,41.7430943325,2013
400112,UNO CHTR - 51ST - HOMAN,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.708760133,41.8010433907,2013
400113,CHICAGO QUEST NORTH,"6, 7, 8, 9, 10, 11",Charter,-87.6455939145,41.9078097085,2013
400114,UNO CHTR - ST MARKS,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6898950625,41.9003161974,2013
400115,CATALYST CHTR - MARIA,"K, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12",Charter,-87.6931119777,41.7709914514,2013
400116,MONTESSORI CHTR - ENGLEWOOD,"PE, PK, K, 1, 2, 3",Charter,-87.6750599481,41.7741643486,2013
400117,NOBLE STREET CHTR - SILVER HS,"9, 10",Charter,-87.650950103,41.7344423065,2013
400118,NOBLE STREET CHTR - PURPLE,"9, 10",Charter,-87.7105633261,41.8693119931,2013
400119,LEGAL PREP CHTR - ACADEMY,"9, 10",Charter,-87.7338528676,41.881892993,2013
400120,UNO CHTR - NEAR WEST,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7877937008,41.9179521229,2013
400121,UNO CHTR - NORTHSIDE,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9",Charter,-87.684369013,42.0164781781,2013
400123,YCCS CHTR - COMMUNITY SERVICE,"10, 11, 12",Alternative/Charter,-87.7425394307,41.8804746269,2013
400124,YCCS CHTR - MCKINLEY,"10, 11, 12",Alternative/Charter,-87.6252940796,41.8413316907,2013
400125,YCCS CHTR - ASPIRA PANTOJA,"10, 11, 12",Alternative/Charter,-87.7270766433,41.93791667,2013
400126,YCCS CHTR - ASSOCIATION HOUSE,"10, 11, 12",Alternative/Charter,-87.706823162,41.901573077,2013
400127,YCCS CHTR - AUSTIN CAREER,"10, 11, 12",Alternative/Charter,-87.7602207289,41.8949489515,2013
400128,YCCS CHTR - CCA ACADEMY,"10, 11, 12",Alternative/Charter,-87.7250663893,41.8651973415,2013
400129,YCCS CHTR - HOUSTON,"10, 11, 12",Alternative/Charter,-87.6165139711,41.8093305545,2013
